LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,SA2_CODE_2021,SA2_NAME_2021
ABS10742,RIVERLEA,EXTRA LOCALITY,2902,ACT,801111140,ACT - South West
ABS10807,KINLYSIDE,EXTRA LOCALITY,2913,ACT,801041117,Gungahlin - West
ABS11184,PARKWOOD,EXTRA LOCALITY,2618,ACT,801011144,West Belconnen
ABS11193,STROMLO,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS11488,TENNENT,EXTRA LOCALITY,2620,ACT,801111141,Namadgi
ABS1199,BRACKS,EXTRA LOCALITY,2611,ACT,801111141,Namadgi
ABS11999,BLACK MOUNTAIN,EXTRA LOCALITY,2601,ACT,801051123,Black Mountain
ABS1376,CASTLE HILL,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS13806,BOOTH,EXTRA LOCALITY,2620,ACT,801111141,Namadgi
ABS14110,JERRABOMBERRA,EXTRA LOCALITY,2609,ACT,801031113,Canberra East
ABS14113,KOWEN,EXTRA LOCALITY,2620,ACT,801031032,Kowen
ABS14186,PADDYS RIVER,EXTRA LOCALITY,2902,ACT,801111140,ACT - South West
ABS14768,HARMAN,EXTRA LOCALITY,2620,ACT,801031113,Canberra East
ABS195,ACTON PARK,EXTRA LOCALITY,2600,ACT,801051123,Black Mountain
ABS2379,HMAS HARMAN,EXTRA LOCALITY,2620,ACT,801031113,Canberra East
ABS358,BELLVIEW,EXTRA LOCALITY,2620,ACT,801071089,Tuggeranong
ABS384,BIBARINGA,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS4385,MOUNT CLEAR,EXTRA LOCALITY,2630,ACT,801111141,Namadgi
ABS4531,MOUNT STROMLO,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS4620,OAKEY CREEK,EXTRA LOCALITY,2902,ACT,801111140,ACT - South West
ABS8017,TOP NAAS,EXTRA LOCALITY,2620,ACT,801111141,Namadgi
ABS8071,WILLIAMSDALE,EXTRA LOCALITY,2620,ACT,801111141,Namadgi
ABS8335,SNOWY CORNER,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS8726,WILLOWVALE,EXTRA LOCALITY,2620,ACT,801111141,Namadgi
ABS9012,SHANNONS FLAT,EXTRA LOCALITY,2611,ACT,801111141,Namadgi
ABS9026,URIARRA,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS903,BLUNDELLS FLAT,EXTRA LOCALITY,2611,ACT,801111141,Namadgi
loc006d05c87d16,LYNEHAM,GAZETTED LOCALITY,2602,ACT,801051057,Lyneham
loc006d05c87d16,CANBERRA CENTRAL,ALIAS LOCALITY,2602,ACT,801051057,Lyneham
loc006d05c87d16,KENSINGTON GARDENS,ALIAS LOCALITY,2602,ACT,801051057,Lyneham
loc006d05c87d16,LYNEHAM NORTH,ALIAS LOCALITY,2602,ACT,801051057,Lyneham
loc006d05c87d16,N LYNEHAM,ALIAS LOCALITY,2602,ACT,801051057,Lyneham
loc006d05c87d16,NORTH LYNEHAM,ALIAS LOCALITY,2602,ACT,801051057,Lyneham
loc04da2b1c5df3,CHAPMAN,GAZETTED LOCALITY,2611,ACT,801081091,Chapman
loc04da2b1c5df3,STROMLO DISTRICT,ALIAS LOCALITY,2611,ACT,801081091,Chapman
loc07b50843638a,DICKSON,GAZETTED LOCALITY,2602,ACT,801051054,Dickson
loc084a7a1ebc7c,FORREST,GAZETTED LOCALITY,2603,ACT,801061063,Forrest
loc0864be1bd999,EVATT,GAZETTED LOCALITY,2617,ACT,801011007,Evatt
loc0a721e1b7131,JACKA,GAZETTED LOCALITY,2914,ACT,801041118,Jacka
loc0c59375a43a9,CHIFLEY,GAZETTED LOCALITY,2606,ACT,801091099,Chifley
loc0dc356399bc7,PAGE,GAZETTED LOCALITY,2614,ACT,801011023,Page
loc104c1f495a4a,KAMBAH,GAZETTED LOCALITY,2902,ACT,801071082,Kambah
loc104c1f495a4a,GLEN EAGLES,ALIAS LOCALITY,2902,ACT,801071082,Kambah
loc104c1f495a4a,GLENEAGLES,ALIAS LOCALITY,2902,ACT,801071082,Kambah
loc1c54ec83b5f8,PALMERSTON,GAZETTED LOCALITY,2913,ACT,801041048,Palmerston
loc1c54ec83b5f8,CENTRAL PARK,ALIAS LOCALITY,2913,ACT,801041048,Palmerston
loc1c54ec83b5f8,THE PALMS,ALIAS LOCALITY,2913,ACT,801041048,Palmerston
loc1c74a8b11582,FLYNN,GAZETTED LOCALITY,2615,ACT,801011009,Flynn (ACT)
loc1ceb9296431e,HOLT,GAZETTED LOCALITY,2615,ACT,801011015,Holt
loc1ceb9296431e,KIPPAX,ALIAS LOCALITY,2615,ACT,801011015,Holt
loc1ceb9296431e,SCOTTSDALE,ALIAS LOCALITY,2615,ACT,801011015,Holt
loc1d68be2e1b28,KENNY,GAZETTED LOCALITY,2912,ACT,801041119,Kenny
loc1f257ff2a115,CURTIN,GAZETTED LOCALITY,2605,ACT,801091100,Curtin
loc1f257ff2a115,WODEN VALLEY,ALIAS LOCALITY,2605,ACT,801091100,Curtin
loc1f697be4054a,FRANKLIN,GAZETTED LOCALITY,2913,ACT,801041039,Franklin
loc2011930fedea,TURNER,GAZETTED LOCALITY,2612,ACT,801051060,Turner
loc20cb3ad1b2bb,OAKS ESTATE,GAZETTED LOCALITY,2620,ACT,801031113,Canberra East
loc21a5aaa3c530,MACARTHUR,GAZETTED LOCALITY,2904,ACT,801071083,Macarthur
loc23eefe8d3c05,WRIGHT,GAZETTED LOCALITY,2611,ACT,801101139,Wright
