OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,Personal income: Employee income earners (no.) (Data year: 2020),Personal income: Employee income earners: Median age (years) (Data year: 2020),Personal income: Total employee income ($m) (Data year: 2020),Personal income: Median employee income ($) (Data year: 2020),Personal income: Mean employee income ($) (Data year: 2020),Personal income: Employee income as main source of income (%) (Data year: 2020),Personal income: Own unincorporated business income earners (no.) (Data year: 2020),Personal income: Own unincorporated business income earners: Median age (years) (Data year: 2020),Personal income: Total own unincorporated business income ($m) (Data year: 2020),Personal income: Median own unincorporated business income ($) (Data year: 2020),Personal income: Mean own unincorporated business income ($) (Data year: 2020),Personal income: Own unincorporated business income as main source of income (%) (Data year: 2020),Personal income: Investment income earners (no.) (Data year: 2020),Personal income: Investment income earners: Median age (years) (Data year: 2020),Personal income: Total investment income ($m) (Data year: 2020),Personal income: Median investment income ($) (Data year: 2020),Personal income: Mean investment income ($) (Data year: 2020),Personal income: Investment income as main source of income (%) (Data year: 2020),Personal income: Superannuation and annuity income earners (no.) (Data year: 2020),Personal income: Superannuation and annuity income earners: Median age (years) (Data year: 2020),Personal income: Total superannuation and annuity income ($m) (Data year: 2020),Personal income: Median superannuation and annuity income ($) (Data year: 2020),Personal income: Mean superannuation and annuity income ($) (Data year: 2020),Personal income: Superannuation and annuity income as main source of income (%) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances)(no.) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances): Median age (years) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances) ($m) (Data year: 2020),Personal income: Median total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Mean total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P20 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p20/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p10/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Gini coefficient (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 1% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 5% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 10% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Lowest Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Second Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Third Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Highest Quartile (%) (Data year: 2020),Persons who reported gross capital gains (no.) (Data year: 2022),Total value of gross capital gains ($m) (Data year: 2022),Median value of gross capital gains ($) (Data year: 2022),Mean value of gross capital gains ($) (Data year: 2022),Total personal income: Persons earning $1-$499 per week (%) (Data year: 2021),Total personal income: Persons earning $500-$999 per week (%) (Data year: 2021),Total personal income: Persons earning $1000-$1999 per week (%) (Data year: 2021),Total personal income: Persons earning $2000-$2999 per week (%) (Data year: 2021),Total personal income: Persons earning $3000 or more per week (%) (Data year: 2021),Total personal income: Persons earning nil income (%) (Data year: 2021),Total personal income: Persons with a negative income (%) (Data year: 2021),Total personal income: Income inadequately described/not stated (%) (Data year: 2021),Median equivalised total household income (weekly) ($) (Data year: 2021),Equivalised total household income: $1-$499 per week (%) (Data year: 2021),Equivalised total household income: $500-$999 per week (%) (Data year: 2021),Equivalised total household income: $1000-$1999 per week (%) (Data year: 2021),Equivalised total household income: $2000-$2999 per week (%) (Data year: 2021),Equivalised total household income: $3000 or more per week (%) (Data year: 2021),Equivalised total household income: Nil income (%) (Data year: 2021),Equivalised total household income: Partial income stated (%) (Data year: 2021),Equivalised total household income: All incomes not stated (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
1,101021007,Braidwood,3418.3525,https://linked.data.gov.au/dataset/asgsed3/SA2/101021007,1921,45,124.2,53848,64675,64.4,750,56,2.8,2856,3764,12.4,1702,54,13.3,338,7802,16.4,187,63,6.5,29202,34830,5.9,2426,50,149.8,44246,61745,7.73,2.08,0.27,0.06,0.574,15.2,27.2,38.1,32.5,23.8,21.7,22.1,278,27.2,5341,97991,26,22.2,24,7.6,4.2,5.2,1.2,9.7,952,18,29.5,28.8,9.7,5,1.5,5.5,1.7,ece822ec-390e-4b85-a90a-a67ecdb25f78,0.339396982400558,3.91369435008934
2,101021008,Karabar,6.9825,https://linked.data.gov.au/dataset/asgsed3/SA2/101021008,4910,39,329.3,63947,67058,84.6,424,47,10.1,12345,23864,4.1,3164,46,12,97,3781,6,398,62,15.1,31794,38018,5,5128,42,345.3,62946,67345,3.26,1.55,0.47,0.22,0.363,4.4,14.3,24,17.1,22.3,33.3,27.4,440,13.6,1380,31007,20,20.2,33.2,9,3.3,6.6,0.7,7.1,1220,13.8,20.2,40.8,12.6,4.2,1.6,5.5,1.7,c593efe1-b234-4aa4-9c44-151c1e14d4df,0.000692573608375824,0.138641935685031
3,101021009,Queanbeyan,4.762,https://linked.data.gov.au/dataset/asgsed3/SA2/101021009,6536,38,438.5,63627,67087,85.5,665,42,11.8,8762,17795,4.3,4162,42,17.1,68,4103,5.8,434,63,16.8,29574,38751,4,6778,39,456,61724,67276,3.2,1.58,0.49,0.26,0.366,4.7,14.8,24.4,16.3,24,33,26.8,614,19.2,1628,31305,18.4,22.7,33.7,9.8,3.1,5.2,0.5,6.7,1206,12.8,22.5,42,13,4.2,1.4,3,1.3,16ea6cfe-dd46-4996-bc46-635956826a5a,0.000472213498142082,0.107150167045716
4,101021010,Queanbeyan - East,13.0032,https://linked.data.gov.au/dataset/asgsed3/SA2/101021010,3136,37,219.1,65520,69857,82.4,310,42,6.1,10253,19827,3.7,2174,43,16,95,7341,8,265,63,11,34425,41464,5.4,3360,40,241.1,64010,71770,3.43,1.63,0.47,0.25,0.383,5.5,16.2,26.1,15.9,22.3,32.5,29.3,325,9.7,2431,29868,15.8,20.4,37.3,10.3,4.4,5.3,0.6,5.9,1297,10.9,20.6,43.6,13.8,5.5,0.9,3.6,1.2,2008eb75-0cf3-40a5-8584-f1380b3bcca7,0.0012895043005301,0.189549065008771
5,101021012,Queanbeyan West - Jerrabomberra,13.6748,https://linked.data.gov.au/dataset/asgsed3/SA2/101021012,7997,41,669.6,75396,83732,83.2,718,48,26.1,11447,36386,3.6,5900,46,45.4,126,7691,7.7,731,60,32.7,38205,44689,5.1,8381,44,739.7,75987,88257,3.82,1.69,0.44,0.22,0.411,6.4,17.7,28.1,15,17.5,25.6,41.9,1054,54.1,2263,51336,14.8,14.9,31.9,16.7,10.9,6.5,0.3,4,1728,5.2,12.7,39.3,23.8,12,0.9,5.2,1,5e9fb13a-3975-4feb-89c6-1aee0d556994,0.00135637771154506,0.193368205884951
6,101021610,Googong,6.9164,https://linked.data.gov.au/dataset/asgsed3/SA2/101021610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,15.3,2818,37659,8.1,10.8,39.5,21.4,9.8,6,0.2,4.4,1858,2.1,7.6,45.2,28.8,10.9,0.2,3.6,1,cf091c59-b07c-40bc-a40c-fe6317efd461,0.000686484952893807,0.110633602836431
7,101021611,Queanbeyan Surrounds,3047.7057,https://linked.data.gov.au/dataset/asgsed3/SA2/101021611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,110.2,4726,76288,14.9,16.7,31,14.6,9.6,6.4,0.5,6.5,1636,5.7,14.7,39.1,20.4,12.3,0.9,6.2,0.9,63f07ee8-c920-49b5-94b9-b94bcfbb7a52,0.302555689392648,4.39506930327561
8,101031013,Bombala,3990.144,https://linked.data.gov.au/dataset/asgsed3/SA2/101031013,1200,41,65.9,49131,54887,72,460,56,6.9,6093,15031,14.5,955,53,6.1,211,6436,10.8,43,60,0.9,13021,21707,2,1404,49,77,46495,54848,5.1,1.88,0.37,0.1,0.486,6.5,19,30,27,28,25,20,107,9.6,8152,90127,26,25.7,24.2,4.4,2.1,5.3,1.2,10.8,854,23.8,30,27.8,6.4,3,2.2,3.9,2.9,c10fba74-0610-4390-b6ad-9f91c02958b4,0.403289665011471,4.56417828447938
9,101031014,Cooma,103.6371,https://linked.data.gov.au/dataset/asgsed3/SA2/101031014,3423,40,190.5,49169,55656,75.3,653,53,12.4,10107,19029,8.6,2397,52,16.8,166,7021,11.5,215,65,6.6,26331,30725,4,3776,46,215,48615,56939,4.55,1.81,0.4,0.16,0.436,5.8,17.4,28.2,25.2,29.1,25.8,19.9,298,10.7,3049,35983,24.3,24.6,24.5,6.6,3,5.1,0.9,11.1,926,19.6,28.9,31,7.9,3.7,1.7,4.3,2.9,62c1db30-5c1e-4b13-a9f0-403b90fd2b33,0.0103915497975322,0.544648729404326
10,101031015,Cooma Surrounds,6251.0158,https://linked.data.gov.au/dataset/asgsed3/SA2/101031015,1650,45,97.5,51540,59111,66.9,683,53,4,2822,5851,13.3,1441,52,10.5,264,7266,14.4,136,61,4,23945,29223,4.5,2056,50,112.2,46044,54552,6.68,1.89,0.28,0.06,0.524,6.9,20.4,32,29.8,25.2,25.4,19.6,208,16.1,6155,77337,24.4,21,26.8,6.3,4.4,6.3,0.7,10.4,987,17.9,25.9,30.4,9.5,5.2,2.4,6.6,2,1f8a5717-cbe3-467e-822b-2d8d56cf777d,0.625819941174541,7.16623611491503
